UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694617200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26214.37,26387.76,26181.57,26241.31,1694617200,1694620799,26214.44,26387.76,1694620013,26181.57,1694617302,26241.31,42761,20097,22664,0,1805.32365,47440064.387437,752.01101,19764590.3903381,1053.31264,27675473.9970989,0,0,2023-09-13 15:00:00+00:00
HOUR,1694620800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26241.31,26405.22,26201.75,26280.05,1694620800,1694624399,26241.16,26405.22,1694622606,26201.75,1694621215,26280.05,46444,22007,24437,0,2219.05503,58373203.925333,1038.91136,27336532.4808313,1180.14367,31036671.4445017,0,0,2023-09-13 16:00:00+00:00
HOUR,1694624400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26280.05,26355.1,26084.17,26094.13,1694624400,1694627999,26280.06,26355.1,1694625395,26084.17,1694627916,26094.13,49674,21332,28342,0,3102.17887,81255183.3066346,1379.30914,36127045.3230966,1722.86973,45128137.983538,0,0,2023-09-13 17:00:00+00:00
HOUR,1694628000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26094.13,26164.41,26086.2,26111.48,1694628000,1694631599,26099.11,26164.41,1694629147,26086.2,1694631344,26111.48,22125,10184,11941,0,754.50559,19715375.543583,354.51026,9263330.8883338,399.99533,10452044.6552492,0,0,2023-09-13 18:00:00+00:00
HOUR,1694631600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26111.48,26201.61,26055.0,26140.01,1694631600,1694635199,26105.91,26201.61,1694634348,26055.0,1694631798,26140.01,23661,10794,12867,0,872.16333,22801431.6154627,387.06891,10119565.479731,485.09442,12681866.1357317,0,0,2023-09-13 19:00:00+00:00
HOUR,1694635200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26140.01,26250.4,26140.0,26218.04,1694635200,1694638799,26140.0,26250.4,1694638669,26140.0,1694635202,26218.04,19477,9480,9997,0,568.55523,14897442.711978,284.73711,7460287.4605716,283.81812,7437155.2514064,0,0,2023-09-13 20:00:00+00:00
HOUR,1694638800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26218.04,26272.31,26206.09,26226.77,1694638800,1694642399,26218.03,26272.31,1694640632,26206.09,1694638832,26226.77,16104,7088,9016,0,452.13919,11864601.3006678,179.46652,4709350.6497288,272.67267,7155250.650939,0,0,2023-09-13 21:00:00+00:00
HOUR,1694642400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26226.77,26305.46,26226.77,26242.18,1694642400,1694645999,26226.78,26305.46,1694644084,26226.77,1694642406,26242.18,15814,7190,8624,0,489.60061,12858258.3544027,201.93647,5303040.1174378,287.66414,7555218.2369649,0,0,2023-09-13 22:00:00+00:00
HOUR,1694646000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26242.18,26263.58,26200.0,26222.0,1694646000,1694649599,26242.18,26263.58,1694646558,26200.0,1694648068,26222.0,13536,5897,7639,0,446.05499,11699407.9266021,154.57326,4053881.2326982,291.48173,7645526.6939039,0,0,2023-09-13 23:00:00+00:00
HOUR,1694649600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26222.0,26525.0,26184.63,26522.0,1694649600,1694653199,26222.01,26525.0,1694653196,26184.63,1694650043,26522.0,47126,29622,17504,0,2267.01472,59729646.7484291,1316.68077,34707720.8434695,950.33395,25021925.9049596,0,0,2023-09-14 00:00:00+00:00
