,searchTerm,weekLabel,interestScore
308,cryptocurrency,"Nov 24 – 30, 2024",72
309,cryptocurrency,"Dec 1 – 7, 2024",100
310,cryptocurrency,"Dec 8 – 14, 2024",85
311,cryptocurrency,"Dec 15 – 21, 2024",69
312,cryptocurrency,"Dec 22 – 28, 2024",62
313,cryptocurrency,"Dec 29, 2024 – Jan 4, 2025",60
314,cryptocurrency,"Jan 5 – 11, 2025",60
315,cryptocurrency,"Jan 12 – 18, 2025",60
316,cryptocurrency,"Jan 19 – 25, 2025",96
317,cryptocurrency,"Jan 26 – Feb 1, 2025",66
318,cryptocurrency,"Feb 2 – 8, 2025",67
319,cryptocurrency,"Feb 9 – 15, 2025",71
320,cryptocurrency,"Feb 16 – 22, 2025",97
321,cryptocurrency,"Feb 23 – Mar 1, 2025",80
322,cryptocurrency,"Mar 2 – 8, 2025",71
323,cryptocurrency,"Mar 9 – 15, 2025",85
